id_venta,fecha,producto,categoria,cantidad,precio_unitario,descuento_pct,metodo_pago,cliente_frecuente,satisfaccion,total,opinion_usuario
1.0,2022-01-01,Arroz,panaderia,13.0,30.73,0.85,plin,no,-3.0,396.09,Buenos precios y productos frescos
2.0,2022-01-02,Pan,bebidas,1.0,43.29,,tarjeta,no,1.0,35.9,Buenos precios y productos frescos
3.0,2022-01-04,Atún,limpieza,6.0,17.63,23.76,plin,si,4.0,80.65,La compra fue rápida y ordenada
4.0,2022-01-06,Azúcar,,,,20.73,yape,si,3.0,110.92,
,2022-01-07,Azúcar,abarrotes,,36.83,6.93,tarjeta,no,,411.33,La compra fue rápida y ordenada
6.0,2022-01-09,Gaseosa,panaderia,"2,00",23.5,1.33,efectivo,no,4.0,46.37,Había productos vencidos en el estante
7.0,2022-01-11,Arroz,panaderia,7.0,33.54,23.51,yape,si,4.0,179.58,Ofertas interesantes y personal amable
8.0,2022-01-12,,limpieza,3.0,21.5,23.43,yape,si,3.0,49.39,Buenos precios y productos frescos
9.0,2022-01-14,,bebidas,12.0,10.87,13.31,plin,si,-1.0,113.08,Muy buena variedad de productos
10.0,2022-01-16,Arroz,limpieza,,33.92,16.06,yape,no,1.0,256.25,Ofertas interesantes y personal amable
11.0,2022-01-18,Fideos,lacteos,7.0,7.21,11.57,efectivo,no,3.0,44.63,sin comentario
12.0,2022-01-19,Detergente,bebidas,6.0,10.14,"10,49",,si,2.0,54.46,Faltaban varios productos básicos
13.0,,,lacteos,3.0,,"2,99",yape,si,4.0,83.73,Excelente atención y encontré todo lo que necesitaba
14.0,2022-01-23,Pan,lacteos,13.0,34.01,2.42,tarjeta,si,3.0,431.43,Buenos precios y productos frescos
15.0,2022-01-24,Pan,,10.0,40.42,5.82,tarjeta,no,5.0,"-380,68",La compra fue rápida y ordenada
16.0,,Pan,panaderia,5.0,-13.36,20.92,,si,1.0,52.83,Muy buena variedad de productos
17.0,2022-01-28,Fideos,lacteos,-6.0,6.32,3.65,yape,si,2.0,36.54,Ofertas interesantes y personal amable
18.0,2022-01-29,,limpieza,11.0,43.09,5.67,yape,si,4.0,447.11,Los precios no coincidían con la etiqueta
19.0,2022-01-31,,abarrotes,"11,00",8.22,13.72,tarjeta,si,1.0,,Faltaban varios productos básicos
20.0,2022-02-02,Azúcar,abarrotes,7.0,10.1,5.38,tarjeta,no,2.0,66.9,Muy buena variedad de productos
21.0,2022-02-04,Fideos,abarrotes,5.0,14.17,4.08,yape,si,4.0,67.96,Excelente atención y encontré todo lo que necesitaba
22.0,2022-02-05,Aceite,abarrotes,"10,00",24.53,14.08,plin,si,3.0,210.76,Faltaban varios productos básicos
23.0,2022-02-07,Leche,panaderia,10.0,39.9,9.2,yape,no,4.0,362.29,La compra fue rápida y ordenada
24.0,2022-02-09,Detergente,panaderia,9.0,34.58,15.65,,si,3.0,-262.51,
25.0,2022-02-10, PAN ,panaderia,2.0,32.3,22.81,efectivo,si,5.0,49.86,Había productos vencidos en el estante
26.0,2022-02-12,Atún,abarrotes,7.0,-9.12,3.77,plin,no,5.0,61.43,Excelente atención y encontré todo lo que necesitaba
27.0,2022-02-14,Azúcar,abarrotes,9.0,17.06,,efectivo,no,5.0,118.47,Muy buena variedad de productos
28.0,2022-02-16,Gaseosa,lacteos,14.0,22.31,22.56,plin,si,1.0,241.88,Los precios no coincidían con la etiqueta
29.0,2022-02-17,Fideos,limpieza,,7.91,20.73,tarjeta,si,-3.0,50.16,Buenos precios y productos frescos
,2022-02-19,Azúcar,lacteos,5.0,13.39,15.78,plin,no,1.0,56.39,Muy buena variedad de productos
,2022-02-21,,limpieza,8.0,14.91,15.5,plin,,2.0,100.79,Había productos vencidos en el estante
32.0,2022-02-22,Huevos,abarrotes,3.0,"7,04",15.98,plin,no,2.0,17.75,La compra fue rápida y ordenada
,2022-02-24,Arroz,bebidas,2.0,25.44,17.26,plin,no,4.0,42.1,Muy buena variedad de productos
34.0,,Fideos,lacteos,10.0,32.17,0.41,yape,si,3.0,320.38,
35.0,2022-02-27,Gaseosa,,14.0,4.54,23.95,plin,,5.0,48.34,Ofertas interesantes y personal amable
36.0,2022-03-01,Arroz,bebidas,"12,00",22.43,-14.64,efectivo,si,2.0,,Excelente atención y encontré todo lo que necesitaba
37.0,2022-03-03,Gaseosa,panaderia,9.0,35.53,19.54,efectivo,no,4.0,257.29,La compra fue rápida y ordenada
38.0,2022-03-05,Gaseosa,abarrotes,1.0,"34,04",9.43,yape,si,4.0,,Buenos precios y productos frescos
39.0,2022-03-06,Huevos,limpieza,14.0,36.96,0.31,plin,si,5.0,"515,84",Excelente atención y encontré todo lo que necesitaba
40.0,2022-03-08,Atún,panaderia,,21.0,12.74,plin,no,"2,00",128.27,Excelente atención y encontré todo lo que necesitaba
41.0,2022-03-10,Leche,bebidas,5.0,,"12,68",yape,no,4.0,162.37,Los precios no coincidían con la etiqueta
42.0,,Pan,panaderia,13.0,11.97,10.92,yape,si,1.0,138.62,La compra fue rápida y ordenada
43.0,2022-03-13,Pan,limpieza,11.0,17.2,8.49,yape,no,3.0,173.14,Buenos precios y productos frescos
44.0,2022-03-15,Aceite,lacteos,11.0,9.17,6.25,,si,3.0,94.57,Excelente atención y encontré todo lo que necesitaba
45.0,2022-03-17,Arroz,bebidas,4.0,21.84,13.19,plin,si,5.0,75.84,Faltaban varios productos básicos
46.0,2022-03-18,Detergente,abarrotes,14.0,18.55,9.38,efectivo,si,4.0,235.34,Ofertas interesantes y personal amable
47.0,2022-03-20,Azúcar,lacteos,7.0,11.98,24.25,yape,si,5.0,63.52,Faltaban varios productos básicos
48.0,2022-03-22,Gaseosa,bebidas,8.0,34.2,4.32,tarjeta,no,5.0,261.78,Había productos vencidos en el estante
49.0,2022-03-23,Atún,bebidas,11.0,15.15,7.99,plin,no,3.0,153.33,La compra fue rápida y ordenada
50.0,2022-03-25,Pan,abarrotes,10.0,-13.37,7.35,yape,no,,123.87,buenos precios y productos frescos
51.0,2022-03-27,Pan,limpieza,3.0,,13.58,plin,si,1.0,18.64,Mucha cola para pagar
52.0,2022-03-28,Leche,lacteos,5.0,,12.48,tarjeta,no,3.0,"90,10",Mucha cola para pagar
53.0,2022-03-30,Aceite,limpieza,6.0,14.68,16.09, YAPE ,si,1.0,73.91,Excelente atención y encontré todo lo que necesitaba
54.0,2022-04-01,Azúcar,panaderia,14.0,17.56,-23.75,efectivo,no,4.0,187.45,La compra fue rápida y ordenada
55.0,,Azúcar,abarrotes,11.0,11.77,7.13,plin,no,-5.0,120.24,Muy buena variedad de productos
56.0,,Arroz,panaderia,6.0,34.7,17.32,efectivo,no,,172.14,Muy buena variedad de productos
57.0,2022-04-06,Fideos,limpieza,11.0,,0.63,tarjeta,,5.0,458.65,La compra fue rápida y ordenada
58.0,2022-04-08,Leche,bebidas,11.0,23.16,6.56,plin,si,2.0,238.05,Faltaban varios productos básicos
59.0,2022-04-09,Pan,limpieza,,29.47,11.59,plin,no,5.0,156.33,Mucha cola para pagar
