id_venta,fecha,producto,categoria,cantidad,precio_unitario,descuento_pct,metodo_pago,cliente_frecuente,satisfaccion,total,opinion_usuario,año,mes,nombre_mes,año_mes
1,2022-01-01,Arroz,abarrotes,13.0,30.73,0.85,plin,no,3.0,396.09,buenos precios y productos frescos,2022,1,January,2022-01
2,2022-01-02,Pan,panadería,1.0,43.29,0.0,tarjeta,no,1.0,35.9,buenos precios y productos frescos,2022,1,January,2022-01
3,2022-01-04,Atún,abarrotes,6.0,17.63,23.76,plin,si,4.0,80.65,la compra fue rápida y ordenada,2022,1,January,2022-01
4,2022-01-06,Azúcar,abarrotes,7.0,23.01,20.73,yape,si,3.0,110.92,desconocido,2022,1,January,2022-01
6,2022-01-09,Gaseosa,bebidas,2.0,23.5,1.33,efectivo,no,4.0,46.37,había productos vencidos en el estante,2022,1,January,2022-01
7,2022-01-11,Arroz,abarrotes,7.0,33.54,23.51,yape,si,4.0,179.58,ofertas interesantes y personal amable,2022,1,January,2022-01
8,2022-01-12,Desconocido,desconocido,3.0,21.5,23.43,yape,si,3.0,49.39,buenos precios y productos frescos,2022,1,January,2022-01
9,2022-01-14,Desconocido,desconocido,12.0,10.87,13.31,plin,si,3.0,113.08,muy buena variedad de productos,2022,1,January,2022-01
10,2022-01-16,Arroz,abarrotes,7.0,33.92,16.06,yape,no,1.0,256.25,ofertas interesantes y personal amable,2022,1,January,2022-01
11,2022-01-18,Fideos,abarrotes,7.0,7.21,11.57,efectivo,no,3.0,44.63,sin comentario,2022,1,January,2022-01
12,2022-01-19,Detergente,limpieza,6.0,10.14,10.49,desconocido,si,2.0,54.46,faltaban varios productos básicos,2022,1,January,2022-01
14,2022-01-23,Pan,panadería,13.0,34.01,2.42,tarjeta,si,3.0,431.43,buenos precios y productos frescos,2022,1,January,2022-01
15,2022-01-24,Pan,panadería,10.0,40.42,5.82,tarjeta,no,5.0,380.67556,la compra fue rápida y ordenada,2022,1,January,2022-01
17,2022-01-28,Fideos,abarrotes,7.0,6.32,3.65,yape,si,2.0,36.54,ofertas interesantes y personal amable,2022,1,January,2022-01
18,2022-01-29,Desconocido,desconocido,11.0,43.09,5.67,yape,si,4.0,447.11,los precios no coincidían con la etiqueta,2022,1,January,2022-01
19,2022-01-31,Desconocido,desconocido,11.0,8.22,13.72,tarjeta,si,1.0,78.014376,faltaban varios productos básicos,2022,1,January,2022-01
20,2022-02-02,Azúcar,abarrotes,7.0,10.1,5.38,tarjeta,no,2.0,66.9,muy buena variedad de productos,2022,2,February,2022-02
21,2022-02-04,Fideos,abarrotes,5.0,14.17,4.08,yape,si,4.0,67.96,excelente atención y encontré todo lo que necesitaba,2022,2,February,2022-02
22,2022-02-05,Aceite,abarrotes,10.0,24.53,14.08,plin,si,3.0,210.76,faltaban varios productos básicos,2022,2,February,2022-02
23,2022-02-07,Leche,lácteos,10.0,39.9,9.2,yape,no,4.0,362.29,la compra fue rápida y ordenada,2022,2,February,2022-02
24,2022-02-09,Detergente,limpieza,9.0,34.58,15.65,desconocido,si,3.0,262.51407,desconocido,2022,2,February,2022-02
25,2022-02-10,Pan,panadería,2.0,32.3,22.81,efectivo,si,5.0,49.86,había productos vencidos en el estante,2022,2,February,2022-02
26,2022-02-12,Atún,abarrotes,7.0,23.01,3.77,plin,no,5.0,61.43,excelente atención y encontré todo lo que necesitaba,2022,2,February,2022-02
27,2022-02-14,Azúcar,abarrotes,9.0,17.06,0.0,efectivo,no,5.0,118.47,muy buena variedad de productos,2022,2,February,2022-02
28,2022-02-16,Gaseosa,bebidas,14.0,22.31,22.56,plin,si,1.0,241.88,los precios no coincidían con la etiqueta,2022,2,February,2022-02
29,2022-02-17,Fideos,abarrotes,7.0,7.91,20.73,tarjeta,si,3.0,50.16,buenos precios y productos frescos,2022,2,February,2022-02
32,2022-02-22,Huevos,abarrotes,3.0,7.04,15.98,plin,no,2.0,17.75,la compra fue rápida y ordenada,2022,2,February,2022-02
35,2022-02-27,Gaseosa,bebidas,14.0,4.54,23.95,plin,desconocido,5.0,48.34,ofertas interesantes y personal amable,2022,2,February,2022-02
36,2022-03-01,Arroz,abarrotes,12.0,22.43,0.0,efectivo,si,2.0,269.16,excelente atención y encontré todo lo que necesitaba,2022,3,March,2022-03
37,2022-03-03,Gaseosa,bebidas,9.0,35.53,19.54,efectivo,no,4.0,257.29,la compra fue rápida y ordenada,2022,3,March,2022-03
38,2022-03-05,Gaseosa,bebidas,1.0,34.04,9.43,yape,si,4.0,30.830028,buenos precios y productos frescos,2022,3,March,2022-03
39,2022-03-06,Huevos,abarrotes,14.0,36.96,0.31,plin,si,5.0,515.84,excelente atención y encontré todo lo que necesitaba,2022,3,March,2022-03
40,2022-03-08,Atún,abarrotes,7.0,21.0,12.74,plin,no,2.0,128.27,excelente atención y encontré todo lo que necesitaba,2022,3,March,2022-03
41,2022-03-10,Leche,lácteos,5.0,23.01,12.68,yape,no,4.0,162.37,los precios no coincidían con la etiqueta,2022,3,March,2022-03
43,2022-03-13,Pan,panadería,11.0,17.2,8.49,yape,no,3.0,173.14,buenos precios y productos frescos,2022,3,March,2022-03
